Nº;Fecha_corte;Sede;Area;Sub_Area;PC_ID;PC_Inventario;PC_Nombre;PC_Marca;PC_Modelo;PC_Procesador;PC_Grafica;PC_RAM;PC_SSD;PC_HDD;PC_Licencia;Monitor_Inventario;Monitor_Serie;Teclado_Inventario;Teclado_Serie
1;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;10M8S02700;000099;DESKTOP-1RUUD1S;Lenovo;ThinkCentre;Core i3-7100;NO;4GB;NULL;1TB;SI;000097;215LM00041;000098;1066048
2;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;MJ06BK5F;000476;GAT-01;Lenovo;M910S;Core i5-7500;NO;8GB;NULL;1TB;SI;000474;0ASTHCNRA01821;000475;07424722
3;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GD150247740031;000214;Plataforma;Advance;VS6175;Core i5-4460;NO;4GB;NULL;1TB;NO;000216;ADVAN14V0400557;000213;NULL
4;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;NULL;NULL;DESKTOP-8RBCT79;Halion;Generico;Core i5-9400F;si;4GB;NULL;500GB;NO;000210;ADVAN14V0400049;000211;XED807013122
5;21/07/2022;Palacio 1P;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;GERENCIA DE ADMINISTRACIÓN TRIBUTARIA;436QTI5GX4042264;000220;Plataforma;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000217;VS13818;000219;QTMK1210379
6;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;000647;DESKTOP-94HP8LA;Dell;OptiPlex 7060;Core i7-8700;NO;8GB;NULL;1TB;SI;000643;8G635D2;000648;882-08TJ-A03
7;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;00656;Conta-02;Advance;Generico;Core i5-4440;NO;8GB;NULL;1TB;NO;000652;ADVAN14V04000642;000654;0065815703168
8;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;000635;Conta-03;Halion;Generico;Core i5-9400F;si;4GB;NULL;1TB;No;000632;212NDLSA4920;001036;67P-1JZF-A03
9;21/07/2022;Palacio 1P;SUB GERENCIA DE CONTABILIDAD;SUB GERENCIA DE CONTABILIDAD;NULL;NULL;Conta-04;Halion;Generico;Core i3-8100;NO;8GB;250GB;NULL;NO;000692;ADVAN15H0300027;000876;882-08UW-A03
10;21/07/2022;Palacio 2P;ALCALDÍA;ALCALDÍA;LAPTOP;000301;DESKTOP-VH2VAT6;HP;OMEN;Core i7-10750H;SI;16GB;500GB;NULL;SI;NULL;NULL;NULL;NULL
11;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;436QTI5GX4042246;000815;Presupuesto-1;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000813;0ASTHCNRA01496;000814;QTMK1210461
12;21/07/2022;Palacio 2P;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;GERENCIA DE PLANEAMIENTO Y PRESUPUESTO;436QTI5GX4042240;000513;Presupuesto-2;Quitech;Master Line GX 220;Core i5-10400;NO;8GB;250GB;1TB;SI;000515;0ASTHCNRA01337;000514;QTMK1210470
